SiteID1,SiteID2,SiteName,SiteLat,SiteLon,SiteLonAdj
IC17EKPV01A,IC17EKPV01A,PV-10,-72.81,79.93,79.93
IC17KOEL00B,IC17KOEL00B,Elbrus,43.3483,42.4267,42.4267
IC17KOEL00D,IC17KOEL00D,Elbrus,43.3483,42.4267,42.4267
IC76FIDE01A,IC76FIDE01A,Devon Ice Cap,75.33,277.5,-82.5
IC76FIDE02A,IC76FIDE02A,Devon Ice Cap,75.33,277.5,-82.5
IC82STVE01A,IC82STVE01A,Vernagtferner VF79_core1,46.8842,10.8256,10.8256
IC82STVE01B,IC82STVE01B,Vernagtferner VF79_core1,46.8842,10.8256,10.8256
IC82STVE01C,IC82STVE01C,Vernagtferner VF79_core1,46.8842,10.8256,10.8256
IC85LAD201A,IC85LAD201A,DYE2,66.38,313.82,-46.18000000000001
IC92HOML01A,IC92HOML01A,Mt Logan (NWCol),60.58,219.42,-140.58
IC93BAGI01A,IC93BAGI01A,GISP2-B,72.59,321.54,-38.45999999999998
IC94THDP01A,IC94THDP01A,Dyer Plateau,-70.68,295.13,-64.87
IC95FI8701A,IC95FI8701A,Agassiz A87,80.7,286.9,-73.10000000000002
IC95THHU02B,IC95THHU02B,Nevado HuascarA¡n Core 2,-9.0,282.5,-77.5
IC95THHU02A,IC95THHU02A,Nevado HuascarA¡n Core 2,-9.0,282.5,-77.5
IC95THHU01B,IC95THHU01B,Nevado HuascarA¡n Core 2,-9.0,282.5,-77.5
IC95THHU02C,IC95THHU02C,Nevado HuascarA¡n Core 2,-9.0,282.5,-77.5
IC96ISE901A,IC96ISE901A,DML Ritscherflya E91,-73.6,347.57,-12.430000000000007
IC96MOSS01A,IC96MOSS01A,Siple Station,-75.92,275.75,-84.25
IC97GRGI01A,IC97GRGI01A,GISP2,72.6,321.5,-38.5
IC97THGL01A,IC97THGL01A,Guliya,35.2833,81.4833,81.4833
IC98FIPE01A,IC98FIPE01A,Penny Ice cap,67.25,293.25,-66.75
IC98THSA01A,IC98THSA01A,Sajama,-18.1,291.1,-68.89999999999998
IC99IS8901A,IC99IS8901A,Eastern DML L89 (DML Ice divide traverse L),-74.65,12.8,12.8
IC99ISS201A,IC99ISS201A,DML Fimbulisen S20,-70.25,4.82,4.82
IC99OE0101A,IC99OE0101A,DML Plateau Amundsenisen FB96DML01,-74.86,357.45,-2.5500000000000114
IC99OE0201A,IC99OE0201A,DML Plateau Amundsenisen FB96DML02,-74.97,3.92,3.92
IC99OE0301A,IC99OE0301A,DML Plateau Amundsenisen FB97DML03,-74.49,1.97,1.97
IC99OE0401A,IC99OE0401A,DML Plateau Amundsenisen FB97DML04,-74.41,7.22,7.22
IC99OE0502A,IC99OE0502A,DML Plateau Amundsenisen FB97DML05,-75.0,0.01,0.01
IC99OE0601A,IC99OE0601A,DML Plateau Amundsenisen FB97DML06,-75.0,8.01,8.01
IC99OE0702A,IC99OE0702A,DML Plateau Amundsenisen FB97DML07,-74.59,356.56,-3.4399999999999977
IC99OE0801A,IC99OE0801A,DML Plateau Amundsenisen FB97DML08,-75.75,3.29,3.29
IC99OE0901A,IC99OE0901A,DML Plateau Amundsenisen FB97DML09,-75.93,7.22,7.22
IC99OE1001A,IC99OE1001A,DML Plateau Amundsenisen FB97DML10,-75.22,11.35,11.35
IC99SCFH01A,IC99SCFH01A,Fiescherhorn,46.5481,8.0461,8.0461
IW15MELD00A,IW15MELD00A,Lena River Delta,72.4,126.0,126.0
IW17OPOY00A,IW17OPOY00A,Oyogos Yar,72.7,143.5,143.5
LS00SEJU01,LS00SEJU01,Laguna Junin,-11.2,284.2,-75.80000000000001
LS00WODE01,LS00WODE,Dervanoi,69.23,86.57,86.57
LS01HOCH01,LS01HOCH,Lake Chichancanab,19.8333,271.25,-88.75
LS01HUFA01,LS01HUFA01b,Farewell Lake,62.55,206.3667,-153.6333
LS02BEPY01,LS02BEPY,Pyramid,40.1,240.4,-119.6
LS02HATI01,GH319a119c,tibetanus,68.33,18.7,18.7
LS02ROSA01,LS02ROSA,Lake Salpeten,16.98,270.334,-89.666
LS03HAIG01,LS03HAIG,Igelsjon,58.47,13.73,13.73
LS03RUED01,LS03RUED,Edward,-0.5,29.5,29.5
LS04JOCH01,LS04JOCH,Chuna,67.95,32.48,32.48
LS04YUWA01,LS04YUWA,Walker Lake,37.87,240.84,-119.16
LS05ANJE01,LS05ANJE,Jellybean,60.4,225.2,-134.8
LS05HOAG01,LS05HOAG01,Aguada Xcaamal,20.61,270.285,-89.71499999999997
LS05HOAG01,LS05HOAG02,Aguada Xcaamal,20.61,270.285,-89.71499999999997
LS05HOAG01,LS05HOAG03,Aguada Xcaamal,20.61,270.285,-89.71499999999997
LS06CRLA01,LS06CRLA01a,Lake Lamongan,-7.98,113.38,113.38
LS06DENA01,LS06DENA01b,Lake Nar,38.34,34.46,34.46
LS06JONA01,LS06JONA01a,Lake Nar,38.34,34.46,34.46
LS06MIBO01,LS06MIBO10a,Bosten Lake,42.0155,87.0755,87.0755
LS06POVE01,LS06POVE01a,Laguna Verde Baja,8.85,289.13,-70.87
LS06STFO01,LS06STFO,Foy,48.2,245.6,-114.4
LS06TIST01,LS06TIST,Steel,46.0,265.3,-94.69999999999999
LS07ANMA01,LS07ANMA,Marcella,60.1,226.2,-133.8
LS07EAGO01,LS07EAGO01,Lake Golishar,37.12,29.6,29.6
LS07LAHA01,LS07LAHA,Hayq,11.35,39.72,39.72
LS07ROTI01,LS07ROTI,Tibetanus,68.3,18.7,18.7
LS08LICA01a,LS08LICA01a,"Cattle Pond, Dongdao Island",16.65,112.7167,112.7167
LS08STCR01,LS08STCR,Crevice,45.0,249.4001,-110.59989999999999
LS09LACA,LS09LACA,Laguna Castilla,18.7975,289.1242,-70.87580000000003
LS09LAEL,LS09LAEL,Laguna de Salvador,18.7958,289.1131000000001,-70.88689999999991
LS09MAAS01,LS09MAAS,Ashenge,12.5833,39.4833,39.4833
LS09MAZO01,LS09MAZO,Zonar,37.48,355.32,-4.680000000000007
LS09MIKU01,LS09MIKU01a,Lake Kuhai,35.3,99.17,99.17
LS09SASP01,LPD292174f8,Spooky Lake,7.15,134.3667,134.3667
LS09SAWA01,LS09SAWA01A,Washington Lake,4.7167,199.5833,-160.4167
LS09SCMI01,LS09SCMI,Mica,60.95,211.85,-148.15
LS09SHJO01,LS09SHJO,Jones,47.0457,246.8574,-113.14259999999999
LS10ANBL01,LS10ANBL01a,Lake Blektjarnen,62.0,14.65,14.65
LS10CLTA01,LS10CLTA,Takahula,67.35,206.33,-153.67
LS10GOBL01,LS10GOBL01a,"Blue Lake, Mount Gambier",-37.01,140.01,140.01
LS10HEQI01,LS10HEQI01a,Qinghai,37.0,100.0,100.0
LS10HESA01,LS10HESA,Saarikko,62.25,27.67,27.67
LS10HOLO01,LS10HOLO,Lough-na-Shade,54.35,353.31,-6.689999999999998
LS10STSP01,LS10STSP,Lake Spaime,63.12,12.32,12.32
LS10WRNA01,LS10WRNA01a,Nam Co,30.7252,90.6066,90.6066
LS10ZHHU01,LS10ZHHU01a,Hurleg Lake,37.2908,96.8838,96.8838
